surface,reading,pos,frequency
さ,サ,動詞-非自立可能,1
部外,ブガイ,名詞-普通名詞-一般,1
邪魔,ジャマ,名詞-普通名詞-サ変形状詞可能,1
さぁ,サー,助詞-終助詞,1
食える,クエル,動詞-一般,1
食べる,タベル,動詞-一般,1
違っ,チガッ,動詞-一般,1
食わし,クワシ,動詞-一般,1
き,キ,記号-一般,1
きな粉,キナコ,名詞-普通名詞-一般,1
きれい,キレー,形状詞-一般,1
ｼｽﾞﾈ,ｼｽﾞﾈ,名詞-普通名詞-一般,1
ｻｸﾗ,ｻｸﾗ,名詞-普通名詞-一般,1
･,･,記号-一般,1
｣！,｣！,記号-一般,1
くせ者,クセモノ,名詞-普通名詞-一般,1
くださ,クダサ,動詞-一般,1
ください,クダサイ,動詞-非自立可能,1
くっ,クッ,感動詞-一般,1
くっつき,クッツキ,動詞-一般,1
♬｢,♬｢,記号-一般,1
くれる,クレル,動詞-非自立可能,1
４,４,名詞-数詞,1
３,３,名詞-数詞,1
ぐっ,グッ,副詞,1
ぐらい,グライ,助詞-副助詞,1
かんな,カンナ,名詞-固有名詞-一般,1
かけぬけ,カケヌケ,動詞-一般,1
鳥,トリ,名詞-普通名詞-一般,1
餅,モチ,名詞-普通名詞-一般,1
食感,ショッカン,名詞-普通名詞-一般,1
遠雷,エンライ,名詞-普通名詞-一般,1
違う,チガウ,動詞-一般,1
じゃあ,ジャー,接続詞,1
言わ,イワ,動詞-一般,1
覚悟,カクゴ,名詞-普通名詞-サ変可能,1
覚え,オボエ,動詞-一般,1
見逃す,ミノガス,動詞-一般,1
見立て,ミタテ,動詞-一般,1
見る,ミル,動詞-非自立可能,1
見,ミ,動詞-非自立可能,1
街,マチ,名詞-普通名詞-一般,1
しん,シン,動詞-一般,1
じっくり,ジックリ,副詞,1
おっ,オッ,接頭辞,1
血,チ,名詞-普通名詞-一般,1
蜜豆,ミツマメ,名詞-普通名詞-一般,1
じゃ,ジャ,助詞-格助詞,1
落ち着い,オチツイ,動詞-一般,1
荷物,ニモツ,名詞-普通名詞-一般,1
草,クサ,名詞-普通名詞-一般,1
じゃ,ジャ,接続詞,1
ただ,タダ,副詞,1
聞く,キク,動詞-一般,1
者,モノ,名詞-普通名詞-一般,1
じゃあ,ジャ,助動詞,1
考えよう,カンガエヨー,動詞-一般,1
置く,オク,動詞-非自立可能,1
親切,シンセツ,名詞-普通名詞-形状詞可能,1
言葉,コトバ,名詞-普通名詞-一般,1
道草,ミチクサ,名詞-普通名詞-一般,1
しよう,シヨー,動詞-非自立可能,1
運び,ハコビ,動詞-一般,1
週間,シューカン,名詞-普通名詞-助数詞可能,1
逆行,ギャッコー,名詞-普通名詞-サ変可能,1
逆,ギャク,名詞-普通名詞-形状詞可能,1
逃げろ,ニゲロ,動詞-一般,1
逃げる,ニゲル,動詞-一般,1
逃げ,ニゲ,動詞-一般,1
追い出す,オイダス,動詞-一般,1
返事,ヘンジ,名詞-普通名詞-サ変可能,1
近づい,チカズイ,動詞-一般,1
さあ,サー,助詞-終助詞,1
ささい,ササイ,名詞-普通名詞-形状詞可能,1
さっさと,サッサト,副詞,1
足り,タリ,動詞-一般,1
走り,ハシリ,動詞-一般,1
さて,サテ,接続詞,1
貸せ,カセ,動詞-一般,1
貴様,キサマ,代名詞,1
謝る,アヤマル,動詞-一般,1
おはよう,オハヨー,感動詞-一般,1
試し,タメシ,動詞-一般,1
しか,シカ,助詞-副助詞,1
しっかし,シッカシ,接続詞,1
手のひら,テノヒラ,名詞-普通名詞-一般,1
意識,イシキ,名詞-普通名詞-サ変可能,1
ただし,タダシ,接続詞,1
ハァハァハァ,ハァハァハァ,名詞-普通名詞-一般,1
マジ,マジ,形状詞-一般,1
ホント,ホント,名詞-普通名詞-一般,1
ヘヘ,ヘヘ,名詞-普通名詞-一般,1
ヘッ,ヘッ,感動詞-一般,1
フン,フン,名詞-普通名詞-一般,1
フッフフフフ,フッフフフフ,名詞-普通名詞-一般,1
なかなか,ナカナカ,副詞,1
パンツ,パンツ,名詞-普通名詞-一般,1
パリパリ,パリパリ,副詞,1
ハハ,ハハ,感動詞-一般,1
ハッ,ハッ,名詞-数詞,1
なきゃ,ナキャ,助動詞,1
う,ウ,記号-一般,1
なさい,ナサイ,動詞-非自立可能,1
なっ,ナッ,動詞-非自立可能,1
ダメ,ダメ,名詞-普通名詞-形状詞可能,1
ダ,ダ,名詞-普通名詞-一般,1
ショック,ショック,名詞-普通名詞-形状詞可能,1
シ,シ,名詞-数詞,1
なら,ナラ,動詞-非自立可能,1
なり,ナリ,接尾辞-名詞的-一般,1
サクラ,サクラ,名詞-固有名詞-人名-名,1
サイン,サイン,名詞-普通名詞-サ変可能,1
なる,ナル,動詞-非自立可能,1
ありゃ,アリャ,代名詞,1
うずまき,ウズマキ,動詞-一般,1
侵入,シンニュー,名詞-普通名詞-サ変可能,1
とんでも,トンデモ,副詞,1
作る,ツクル,動詞-一般,1
何に,ナンニ,代名詞,1
あの,アノ,連体詞,1
住所,ジューショ,名詞-普通名詞-一般,1
伸び,ノビ,動詞-一般,1
とにかく,トニカク,副詞,1
仲間,ナカマ,名詞-普通名詞-一般,1
以外,イガイ,名詞-普通名詞-副詞可能,1
とんだ,トンダ,連体詞,1
今回,コンカイ,名詞-普通名詞-副詞可能,1
今,コン,接頭辞,1
人間,ニンゲン,名詞-普通名詞-一般,1
あらら,アララ,感動詞-一般,1
あら,アラ,感動詞-一般,1
うち,ウチ,名詞-普通名詞-副詞可能,1
どけ,ドケ,助動詞,1
世界,セカイ,名詞-普通名詞-一般,1
不,フ,接頭辞,1
どこ,ドコ,代名詞,1
一髪,イッパツ,名詞-普通名詞-一般,1
どんな,ドンナ,連体詞,1
一時,イチジ,名詞-普通名詞-副詞可能,1
一体,イッタイ,副詞,1
一人,ヒトリ,名詞-普通名詞-副詞可能,1
なん,ナン,動詞-非自立可能,1
ァ,,補助記号-一般,1
んで,ンデ,接続詞,1
ふた,フタ,名詞-数詞,1
やつ,ヤツ,名詞-普通名詞-一般,1
やっかい,ヤッカイ,名詞-普通名詞-形状詞可能,1
はぁ,ハー,感動詞-一般,1
はい,ハイ,感動詞-一般,1
やがれ,ヤガレ,助動詞,1
やが,ヤガ,助動詞,1
いか,イカ,動詞-非自立可能,1
ばか,バカ,名詞-普通名詞-形状詞可能,1
もらう,モラウ,動詞-非自立可能,1
ばっかり,バッカリ,助詞-副助詞,1
もちろん,モチロン,副詞,1
ふるさと,フルサト,名詞-普通名詞-一般,1
なんか,ナンカ,助詞-副助詞,1
へい,ヘー,感動詞-一般,1
むちゃ,ムチャ,名詞-普通名詞-形状詞可能,1
みんな,ミンナ,名詞-普通名詞-副詞可能,1
みなぎっ,ミナギッ,動詞-一般,1
へぇ,ヘー,感動詞-一般,1
ほう,ホー,名詞-普通名詞-一般,1
まっ,マッ,動詞-一般,1
まい,マイ,助動詞,1
また,マタ,接続詞,1
また,マタ,副詞,1
まさか,マサカ,副詞,1
やはり,ヤハリ,副詞,1
やめ,ヤメ,動詞-一般,1
のんびり,ノンビリ,副詞,1
やら,ヤラ,動詞-非自立可能,1
あれ,アレ,動詞-非自立可能,1
あれ,アレ,感動詞-一般,1
いや,イヤ,感動詞-一般,1
いびき,イビキ,名詞-普通名詞-一般,1
ねぇ,ネー,形容詞-非自立可能,1
れ,レ,助動詞,1
られ,ラレ,助動詞,1
いちばん,イチバン,副詞,1
いただき,イタダキ,動詞-非自立可能,1
いじめ,イジメ,動詞-一般,1
より,ヨリ,助詞-格助詞,1
よそ者,ヨソモノ,名詞-普通名詞-一般,1
よし,ヨシ,感動詞-一般,1
よし,ヨシ,名詞-普通名詞-一般,1
よく,ヨク,副詞,1
いく,イク,動詞-非自立可能,1
よう,ヨー,形状詞-助動詞語幹,1
い,イ,感動詞-フィラー,1
ゆっくり,ユックリ,副詞,1
のう,ノー,助詞-終助詞,1
のせ,ノセ,動詞-一般,1
