surface,reading,romaji,pos,frequency
人数,ニンズー,ninzuu,名詞-普通名詞-一般,1
人,ニン,nin,接尾辞-名詞的-一般,1
下っ端,シタッパ,shitappa,名詞-普通名詞-一般,1
スカスカ,スカスカ,sukasuka,形状詞-一般,1
いっぱい,イッパイ,ippai,副詞,1
サンキュー,サンキュー,sankyuu,名詞-普通名詞-一般,1
サヨナラ,サヨナラ,sayonara,感動詞-一般,1
ゲス,ゲス,gesu,名詞-普通名詞-形状詞可能,1
グズグズ,グズグズ,guzuguzu,副詞,1
クズ,クズ,kuzu,名詞-普通名詞-一般,1
キツい,キチー,kitsu,形容詞-一般,1
カレー,カレー,karee,名詞-普通名詞-一般,1
ァ,,a,補助記号-一般,1
んな,ンナ,nna,連体詞,1
んで,ンデ,nde,接続詞,1
いまさら,イマサラ,imasara,副詞,1
ん,ン,n,助詞-格助詞,1
いや,イヤ,iya,感動詞-一般,1
わけ,ワケ,wake,名詞-普通名詞-一般,1
れ,レ,re,助動詞,1
られ,ラレ,rare,助動詞,1
ら,ラ,ra,接尾辞-名詞的-一般,1
よく,ヨク,yoku,形容詞-非自立可能,1
うおっ,ウオッ,uotsu,感動詞-一般,1
やろう,ヤロー,yarou,動詞-非自立可能,1
シンプル,シンプル,shinpuru,形状詞-一般,1
ダ,ダ,da,助動詞,1
下,シタ,shita,名詞-普通名詞-一般,1
ダメ,ダメ,dame,名詞-普通名詞-形状詞可能,1
リズム,リズム,rizumu,名詞-普通名詞-一般,1
ランデブー,ランデブー,randebuu,名詞-普通名詞-一般,1
い,イ,i,動詞-非自立可能,1
ヤバい,ヤバイ,yaba,形容詞-一般,1
い,イ,i,記号-一般,1
ヤ,ヤ,ya,形状詞-一般,1
モタモタ,モタモタ,motamota,副詞,1
ムダ,ムダ,muda,名詞-普通名詞-形状詞可能,1
ホント,ホント,honto,名詞-普通名詞-一般,1
ヘヘヘ,ヘヘヘ,hehehe,名詞-普通名詞-一般,1
ヘヘッ,ヘヘッ,hehetsu,名詞-普通名詞-一般,1
